source,param_name,param_value,algorithm,nlpd_mean,nlpd_std,nlpd_sem
block_outliers,n,50,pro_gp,0.3039476430478547,0.7307454199820373,0.11701291500324666
block_outliers,n,50,standard_gp,0.7999930928015453,0.9498349034129634,0.15209530950315106
block_outliers,n,100,pro_gp,0.06790403245967962,0.4274313124284446,0.06844378693765223
block_outliers,n,100,standard_gp,0.9033361379494075,1.0136994267504407,0.16232181771882323
block_outliers,n,200,pro_gp,0.025818223692031635,0.38665716553379914,0.061914698072435215
block_outliers,n,200,standard_gp,1.042682700593856,0.7244774041707687,0.1160092292033671
heteroskedastic,n,50,pro_gp,0.7132451137014896,0.632929099638575,0.10134976821464105
heteroskedastic,n,50,standard_gp,0.9940286481557278,1.1538730445387433,0.18476756034744404
heteroskedastic,n,100,pro_gp,0.501458140795165,0.47125742695582007,0.07546158174537118
heteroskedastic,n,100,standard_gp,0.7302286482974122,0.4042667512735852,0.06473448852621955
heteroskedastic,n,200,pro_gp,0.46020986855073964,0.40804917083244757,0.06534016038709643
heteroskedastic,n,200,standard_gp,0.6558871765773123,0.3123094466133733,0.05000953510208788
multimodal,n,50,pro_gp,0.49492756608738003,0.4921409669945613,0.07880562445668941
multimodal,n,50,standard_gp,0.953062870101115,0.7605070962352607,0.12177859727582002
multimodal,n,100,pro_gp,0.36597816069393047,0.45709616926606084,0.07319396569595192
multimodal,n,100,standard_gp,0.8464901961998198,0.564437250695932,0.0903822948927587
multimodal,n,200,pro_gp,0.23028930800869546,0.37713869692784213,0.06039052326751164
multimodal,n,200,standard_gp,0.8414583032097671,0.5829228074692299,0.09334235297092602
well_specified,n,50,pro_gp,0.00341259154452101,0.5763797688317115,0.09229462827362485
well_specified,n,50,standard_gp,-0.08225994867227324,0.5127799312354557,0.08211050369703304
well_specified,n,100,pro_gp,-0.11377639887034778,0.43062496948669904,0.0689551813462771
well_specified,n,100,standard_gp,-0.17770419340737276,0.41434711163261617,0.06634863802020116
well_specified,n,200,pro_gp,-0.20578702855157868,0.3917820143368335,0.06273533064979533
well_specified,n,200,standard_gp,-0.23151264636213323,0.3885958137061616,0.062225130225153226
