source,param_name,param_value,region,algorithm,nlpd_mean,nlpd_ci95,n
block_outliers,outlier_offset_frac,1.1,region,pro_gp,1.045139922714478,0.6802901677047599,10
block_outliers,outlier_offset_frac,1.1,region,standard_gp,14.31199467195292,2.0711609878231583,10
heteroskedastic,amplitude_frac,0.8,region,pro_gp,1.2788099402706947,0.3538063371916917,10
heteroskedastic,amplitude_frac,0.8,region,standard_gp,1.4030856657045312,0.2208658513436393,10
multimodal,mix_prob,0.5,region,pro_gp,0.2691605162888053,0.1571611560599217,10
multimodal,mix_prob,0.5,region,standard_gp,0.7685411397032158,0.2932113122871483,10
block_outliers,outlier_offset_frac,1.1,background,pro_gp,-0.19711646351062992,0.10888825172290166,10
block_outliers,outlier_offset_frac,1.1,background,standard_gp,-0.1330663084420753,0.12433992530053482,10
heteroskedastic,amplitude_frac,0.8,background,pro_gp,-0.09216932539981339,0.10753953604397284,10
heteroskedastic,amplitude_frac,0.8,background,standard_gp,0.35490632786629095,0.14043746732411266,10
multimodal,mix_prob,0.5,background,pro_gp,-0.22209812286181507,0.1425796706003838,10
multimodal,mix_prob,0.5,background,standard_gp,0.019702728821078177,0.09776825400093477,10
